total_area,rooms,floors_total,living_area,floor,studio,open_plan,kitchen_area,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,ponds_around3000,log_price
275.0,5,17.0,180.0,17,,,17.0,Санкт-Петербург,37593.0,13114.0,1.0,3.0,17.182806422433504
60.0,2,17.0,30.0,10,,,11.0,Санкт-Петербург,29405.0,12670.0,0.0,1.0,15.955576839107596
34.69,1,25.0,,19,,,7.48,Санкт-Петербург,,,,,15.208035717281975
61.2,2,25.0,32.2,22,,,10.4,Санкт-Петербург,7026.0,13242.0,1.0,0.0,15.739759356223798
26.0,0,25.0,17.0,4,,,,посёлок Бугры,,,,,14.669926311652166
380.0,6,3.0,198.0,2,,,50.0,Пушкин,18490.0,30643.0,1.0,1.0,17.370858648025116
31.2,1,5.0,16.6,3,,,5.5,поселок Гарболово,,,,,14.375126917328105
97.9,3,14.0,55.6,9,,,12.0,Санкт-Петербург,35869.0,16170.0,0.0,2.0,15.955576839107596
50.4,2,9.0,31.4,4,,,8.2,Санкт-Петербург,20745.0,17027.0,0.0,2.0,15.150511887854474
77.1,4,9.0,54.7,9,,,9.9,Санкт-Петербург,29364.0,13540.0,0.0,0.0,15.483217567201578
78.0,3,25.0,47.0,22,,,10.5,Санкт-Петербург,32837.0,13936.0,0.0,0.0,16.066802461833923
47.7,2,2.0,33.0,2,,,4.6,поселок городского типа Рахья,,,,,14.827111833279051
95.3,3,10.0,50.1,4,,,17.4,Санкт-Петербург,23639.0,5164.0,0.0,1.0,16.14735460242387
96.0,2,7.0,20.0,1,,,36.0,Санкт-Петербург,23843.0,2391.0,0.0,3.0,16.860033043306743
69.0,3,9.0,43.0,8,,,7.0,Тосно,,,,,15.096444681204078
59.0,2,21.0,33.0,6,,,13.0,Кудрово,,,,,15.547166280113759
37.9,1,5.0,17.6,2,,,8.6,деревня Торосово,,,,,13.910821646859095
34.0,1,9.0,17.7,2,,,8.0,Санкт-Петербург,50065.0,15770.0,0.0,0.0,15.024471202308668
45.0,2,5.0,27.0,2,,,6.0,посёлок городского типа Сиверский,,,,,13.997832948091215
76.0,4,9.0,49.0,1,,,6.3,Санкт-Петербург,33547.0,11856.0,0.0,0.0,15.555976908243359
73.5,4,5.0,49.0,4,,,8.4,Гатчина,,,,,15.317363482435562
42.0,2,5.0,28.0,2,,,6.0,Санкт-Петербург,11239.0,10871.0,0.0,0.0,15.173919972664004
86.6,4,12.0,55.0,3,,,10.4,Санкт-Петербург,43111.0,13332.0,0.0,0.0,16.108045416114916
54.0,2,16.0,32.1,1,,,11.0,Санкт-Петербург,37970.0,12868.0,1.0,1.0,15.404745967162468
88.0,3,25.0,49.0,17,,,13.7,Санкт-Петербург,16485.0,15282.0,1.0,2.0,15.894952224644102
68.7,2,9.0,44.6,9,,,9.9,Ломоносов,48440.0,51865.0,0.0,0.0,15.520258832020865
398.0,9,2.0,160.1,1,,,41.0,Санкт-Петербург,17720.0,16722.0,3.0,2.0,17.726911389882616
41.0,1,17.0,20.0,6,,,10.8,Санкт-Петербург,33686.0,13554.0,0.0,0.0,15.414898336565054
65.3,3,9.0,42.7,4,,,9.9,Санкт-Петербург,14908.0,14667.0,2.0,0.0,15.59046307836746
62.17,2,17.0,32.61,10,,,15.43,поселок Бугры,,,,,15.321807933208326
73.6,4,9.0,48.6,5,,,6.3,Колпино,26893.0,32679.0,1.0,1.0,15.341567078850604
42.0,1,4.0,16.5,3,,,12.5,Сестрорецк,53952.0,35051.0,0.0,0.0,15.38412668421143
40.0,1,16.0,19.0,5,,,9.0,Санкт-Петербург,29591.0,6963.0,0.0,3.0,15.564710586686562
65.0,3,5.0,,2,,,,Сланцы,,,,,13.864301674514206
42.0,3,5.0,29.599998,2,,,5.2,Санкт-Петербург,12612.0,13852.0,0.0,1.0,15.096444681204078
57.4,2,10.0,,10,,,,Санкт-Петербург,35745.0,16047.0,1.0,2.0,15.49260730578806
63.0,2,18.0,35.0,15,,,9.0,Санкт-Петербург,42222.0,21539.0,0.0,1.0,15.687312888712007
45.7,2,10.0,28.5,9,,,7.0,Санкт-Петербург,36209.0,13123.0,0.0,0.0,15.573368647930426
45.0,2,9.0,27.0,5,,,6.2,Санкт-Петербург,36320.0,9002.0,1.0,0.0,15.274125813221904
100.0,3,12.0,48.0,4,,,17.0,Санкт-Петербург,19008.0,3953.0,0.0,1.0,16.379690465629075
53.6,2,2.0,19.0,1,,,10.0,Всеволожск,,,,,14.648420115681892
128.0,3,16.0,66.0,11,,,15.0,Санкт-Петербург,39054.0,8314.0,1.0,1.0,16.349207451286784
39.0,1,9.0,,2,,,,Санкт-Петербург,13585.0,16176.0,0.0,0.0,15.330638010707329
35.64,1,17.0,16.0,14,,,9.79,посёлок Мурино,,,,,14.869822936167798
54.0,2,3.0,45.0,2,,,7.5,Волхов,,,,,14.430696737594902
32.1,1,5.0,18.0,2,,,5.5,Санкт-Петербург,13650.0,14729.0,0.0,1.0,15.053885078862573
80.6,3,10.0,49.3,6,,,11.0,Санкт-Петербург,15324.0,16995.0,0.0,0.0,15.967272877502799
44.4,2,5.0,28.5,1,,,5.3,Санкт-Петербург,30838.0,6044.0,0.0,1.0,15.238619133170708
54.0,3,4.0,,4,,,,Санкт-Петербург,26885.0,5733.0,1.0,1.0,15.648092181712572
61.7,2,26.0,38.6,23,,,8.2,Санкт-Петербург,15266.0,13171.0,0.0,1.0,15.59046307836746
44.0,2,5.0,30.5,2,,,5.5,Гатчина,,,,,14.763300344494624
46.0,1,16.0,20.7,6,,,12.7,Санкт-Петербург,38900.0,12843.0,0.0,0.0,15.444751293772967
97.1,2,12.0,44.99,12,,,,Санкт-Петербург,9655.0,13255.0,1.0,1.0,16.297711550761328
109.7,4,6.0,71.9,3,,,12.5,Санкт-Петербург,22024.0,730.0,0.0,2.0,16.204273438942487
55.0,2,10.0,32.0,5,,,8.5,Санкт-Петербург,38128.0,13650.0,1.0,2.0,15.520076997341182
36.0,1,6.0,17.1,4,,,9.0,Санкт-Петербург,18625.0,17628.0,0.0,2.0,15.26242977619469
69.0,2,17.0,34.6,1,,,14.0,Санкт-Петербург,32796.0,11871.0,1.0,0.0,15.76142084987672
65.4,3,4.0,44.1,4,,,7.9,Санкт-Петербург,22330.0,5921.0,1.0,2.0,15.679590843810702
70.0,3,25.0,45.0,12,,,9.3,Санкт-Петербург,43440.0,9294.0,0.0,0.0,15.53827733427679
45.0,2,9.0,29.0,2,,,8.0,Санкт-Петербург,11724.0,12818.0,0.0,1.0,15.363073279446223
76.3,2,20.0,32.5,15,,,22.0,Санкт-Петербург,50812.0,16141.0,0.0,0.0,16.012735246411598
38.0,1,5.0,20.0,4,,,12.0,Санкт-Петербург,21058.0,12514.0,1.0,0.0,15.176487367510099
60.0,2,10.0,30.0,7,,,12.0,Сертолово,,,,,15.121137287019383
